Transaction ID,,Transaction effective date,Transaction amount,Credit or debit indicator,Statement description,High level transaction purpose,Mid level transaction purpose,Low level transaction purpose,Transaction code,Merchant ID,Product type,Snapshot date,Payment due day,Repayment amount,Previous repayment date
257,,1/27/2019,2701.05,Credit,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,Transfer,ATM,Groceries,237,1237,Home Loan,8/22/2020,30,1273.06,7/30/2021
258,,2/14/2021,2021.43,Credit,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,Purchase,Retail,Entertainment,980,4937,Personal Loan,12/18/2021,17,135.56,6/27/2019
259,,7/17/2019,6907.67,Credit,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,Transfer,Online,Entertainment,763,1204,Personal Loan,7/21/2019,23,1836.68,11/5/2020
260,,5/1/2021,2782.22,Credit,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,Transfer,Online,Entertainment,120,5561,Home Loan,10/29/2020,1,4033.55,5/25/2021
261,,2/20/2021,7599.82,Credit,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,Withdrawal,ATM,Utilities,424,8224,Personal Loan,7/20/2019,4,1025.82,4/23/2021
262,,8/2/2020,4528.51,Debit,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,Transfer,ATM,Groceries,366,9098,Home Loan,11/20/2020,9,1889.4,1/3/2019
263,,12/14/2021,5220.67,Credit,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,Transfer,Online,Entertainment,627,5384,Home Loan,6/30/2021,21,1231.19,8/22/2021
264,,2/7/2020,2294.74,Debit,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,Withdrawal,Retail,Utilities,946,8126,Personal Loan,9/26/2020,7,1508.48,1/24/2020
265,,2/22/2020,394.22,Credit,porttitor lorem id ligula suspendisse ornare consequat lectus in est,Transfer,ATM,Groceries,790,7734,Home Loan,9/23/2019,21,1457.56,12/1/2021
266,,11/23/2019,419.68,Debit,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,Transfer,ATM,Groceries,805,4682,Personal Loan,4/28/2019,18,954.01,6/1/2020
267,,2/15/2021,908.49,Credit,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,Withdrawal,ATM,Groceries,504,1834,Home Loan,3/29/2019,10,3749.2,2/20/2019
268,,8/27/2019,4032.61,Debit,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,Purchase,Online,Entertainment,269,1827,Personal Loan,4/16/2021,2,1929.27,11/18/2019
269,,7/10/2019,1351.53,Credit,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,Withdrawal,Online,Utilities,364,1833,Personal Loan,1/18/2020,15,4827.54,7/20/2021
270,,7/27/2021,5354.16,Credit,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut,Purchase,Retail,Utilities,509,6391,Personal Loan,4/8/2019,21,1608.56,4/16/2019
271,,10/13/2020,9420.7,Debit,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,Purchase,Retail,Entertainment,850,2998,Personal Loan,10/14/2020,16,1144.5,4/26/2019
272,,12/12/2020,5293.89,Debit,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,Withdrawal,Online,Groceries,499,9534,Home Loan,7/17/2020,18,1520.64,3/1/2019
273,,7/12/2021,4787.06,Credit,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,Transfer,Online,Utilities,826,4449,Personal Loan,11/15/2020,4,2551.49,2/25/2021
274,,9/13/2020,6217.85,Debit,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,Withdrawal,Retail,Groceries,978,6750,Personal Loan,7/24/2021,16,2800.47,10/7/2019
275,,9/10/2021,574.49,Credit,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,Purchase,Online,Entertainment,477,5052,Personal Loan,10/5/2020,19,3398.08,5/3/2020
276,,5/12/2020,9456.5,Debit,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,Withdrawal,Online,Groceries,915,8371,Home Loan,3/8/2019,25,4585.61,5/21/2020
277,,6/5/2019,751.87,Debit,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,Withdrawal,ATM,Entertainment,629,8903,Personal Loan,1/3/2019,27,247.38,4/6/2021
278,,8/12/2021,2160.66,Credit,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,Purchase,ATM,Entertainment,742,8372,Personal Loan,7/25/2021,9,2089.54,5/31/2021
279,,12/28/2019,8352.53,Credit,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,Transfer,ATM,Entertainment,624,3728,Personal Loan,2/26/2020,24,1001.91,3/22/2021
280,,8/28/2020,6483.58,Debit,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,Withdrawal,Retail,Groceries,738,7259,Home Loan,3/29/2020,26,3828.95,5/5/2021
281,,2/26/2019,3931.64,Debit,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,Transfer,Retail,Groceries,382,7154,Home Loan,2/13/2020,4,1426.46,1/20/2019
282,,5/25/2020,7428.93,Debit,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,Purchase,Retail,Utilities,659,2426,Home Loan,8/25/2021,28,2457.9,9/6/2019
283,,9/20/2020,596.35,Debit,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,Withdrawal,Online,Groceries,993,1003,Home Loan,7/30/2019,7,1895.68,5/7/2021
284,,1/30/2020,6356.55,Debit,ante vestibulum ante ipsum primis in faucibus orci luctus et,Purchase,Online,Utilities,698,1957,Home Loan,6/12/2019,4,1195.99,4/7/2020
285,,4/28/2020,3604.35,Credit,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,Transfer,Retail,Groceries,535,9143,Home Loan,1/6/2019,10,2828.42,11/23/2021
286,,11/26/2019,295.1,Credit,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,Purchase,Retail,Utilities,101,4512,Personal Loan,7/13/2020,19,4350.83,4/11/2021
287,,1/21/2021,3488.6,Credit,porttitor pede justo eu massa donec dapibus duis at velit eu,Purchase,Online,Entertainment,343,6704,Personal Loan,7/9/2021,9,1869.27,5/7/2020
288,,2/5/2021,6817.38,Credit,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,Withdrawal,ATM,Entertainment,699,1048,Home Loan,9/1/2020,15,4538.29,10/11/2021
289,,9/11/2021,4139.34,Credit,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,Transfer,Online,Groceries,597,9063,Personal Loan,2/1/2019,27,1436.43,7/9/2020
290,,7/12/2019,238.76,Debit,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,Withdrawal,ATM,Utilities,547,9677,Personal Loan,1/31/2020,9,757.99,9/17/2020
291,,5/14/2020,7699.37,Credit,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,Transfer,Online,Entertainment,702,4633,Personal Loan,5/24/2021,4,4220.14,1/31/2021
292,,12/22/2020,378.91,Debit,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,Withdrawal,Retail,Groceries,808,7918,Home Loan,4/29/2021,23,33.92,9/14/2020
293,,5/27/2021,6221.34,Debit,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,Purchase,Retail,Groceries,229,3638,Home Loan,10/24/2019,6,4308.55,3/13/2019
294,,10/27/2020,4656.02,Debit,sed accumsan felis ut at dolor quis odio consequat varius integer ac,Transfer,ATM,Entertainment,169,8651,Personal Loan,6/27/2021,9,2426.78,8/10/2019
295,,1/2/2021,6913.47,Credit,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi,Purchase,Online,Groceries,467,4580,Personal Loan,4/12/2019,26,1422.51,7/26/2020
296,,8/11/2019,1496.35,Debit,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,Purchase,Online,Groceries,445,3879,Personal Loan,11/15/2020,25,3809.03,2/24/2021
297,,6/26/2021,5391.82,Credit,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,Purchase,Retail,Utilities,153,4725,Personal Loan,7/22/2021,1,451.46,11/21/2020
298,,1/20/2019,2739.07,Credit,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,Withdrawal,Online,Utilities,671,3442,Personal Loan,12/20/2019,2,685.36,5/11/2020
299,,11/27/2019,7176.97,Credit,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,Transfer,ATM,Entertainment,233,1516,Home Loan,6/4/2021,20,250.73,1/29/2021
300,,9/16/2021,9995.86,Debit,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse,Transfer,ATM,Groceries,477,6300,Personal Loan,3/28/2020,3,547.84,5/17/2021
301,,12/3/2020,7213.36,Debit,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,Transfer,ATM,Utilities,359,9882,Personal Loan,2/14/2020,1,2985.32,6/9/2021
302,,2/15/2021,7045.61,Credit,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,Withdrawal,Online,Entertainment,508,6976,Home Loan,3/23/2019,9,1096.83,3/1/2020
303,,8/18/2019,4394.66,Debit,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,Withdrawal,Online,Entertainment,674,7873,Home Loan,7/5/2019,22,2277.16,12/10/2019
304,,10/2/2021,3261.71,Debit,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,Purchase,ATM,Entertainment,611,5030,Home Loan,8/24/2020,21,2929,5/27/2019
305,,11/5/2021,8873.24,Credit,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,Transfer,ATM,Groceries,213,4153,Home Loan,6/4/2019,25,4657.54,6/16/2021
306,,3/21/2021,6641.51,Debit,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,Transfer,Online,Groceries,169,1198,Home Loan,8/8/2019,25,228.67,3/6/2021
307,,8/10/2020,2519.21,Debit,quis lectus suspendisse potenti in eleifend quam a odio in hac,Withdrawal,Retail,Entertainment,833,8368,Home Loan,10/20/2020,25,3756.48,3/14/2019
308,,11/2/2019,8749.12,Debit,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,Transfer,Online,Groceries,540,4408,Home Loan,2/2/2019,12,1119.57,4/29/2021
309,,6/14/2019,7518.56,Debit,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,Transfer,Retail,Utilities,483,4658,Home Loan,9/10/2019,3,2223.99,5/27/2020
310,,12/30/2021,4971.9,Debit,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,Transfer,Online,Groceries,351,1483,Home Loan,12/12/2019,12,2863.47,9/28/2020
311,,8/21/2019,3688.94,Debit,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,Purchase,Retail,Utilities,422,4894,Personal Loan,5/6/2020,15,2452.35,3/10/2019
312,,11/10/2021,329.95,Debit,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,Withdrawal,ATM,Utilities,104,4519,Personal Loan,1/8/2019,13,3554.74,12/6/2021
313,,11/25/2019,9992.22,Credit,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,Withdrawal,Online,Entertainment,248,9089,Home Loan,9/1/2021,25,1604.74,3/11/2020
314,,1/7/2021,4802.59,Debit,dapibus dolor vel est donec odio justo sollicitudin ut suscipit,Withdrawal,Online,Entertainment,789,9175,Home Loan,7/9/2020,24,342.85,4/19/2019
315,,7/23/2020,7889.5,Debit,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,Purchase,Retail,Entertainment,628,5495,Personal Loan,12/21/2019,31,2087.6,10/14/2021
316,,8/9/2019,8768,Debit,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,Purchase,ATM,Groceries,905,7137,Personal Loan,10/14/2020,23,2572.82,12/29/2021
317,,1/15/2021,1899.84,Credit,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac,Withdrawal,ATM,Utilities,687,8405,Home Loan,9/17/2019,20,2227.58,12/14/2020
318,,10/3/2019,4694.64,Credit,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,Transfer,Online,Utilities,517,7132,Home Loan,5/6/2021,16,4195.79,4/5/2019
319,,4/17/2020,9596.18,Credit,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,Purchase,ATM,Utilities,722,2284,Personal Loan,3/26/2021,12,4171.48,12/19/2019
320,,2/27/2019,6887.28,Debit,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,Purchase,ATM,Entertainment,882,6504,Home Loan,5/10/2021,22,2614.86,7/17/2019
321,,6/28/2019,4833.1,Debit,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,Withdrawal,Online,Groceries,257,7831,Home Loan,11/2/2020,16,3267.42,11/7/2020
322,,7/9/2020,3588.67,Credit,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,Purchase,Online,Entertainment,354,4026,Personal Loan,5/8/2020,4,893.93,7/16/2019
323,,12/18/2021,176.54,Credit,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,Transfer,ATM,Utilities,833,2044,Personal Loan,11/15/2021,27,4942.72,2/8/2019
324,,12/24/2020,1806.42,Credit,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,Withdrawal,ATM,Groceries,967,6539,Personal Loan,6/4/2020,20,261.09,10/15/2020
325,,4/28/2020,4070.07,Credit,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,Purchase,Online,Entertainment,974,5430,Personal Loan,6/26/2019,2,82.37,4/20/2019
326,,9/30/2020,5308.31,Debit,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,Transfer,Online,Groceries,281,5105,Home Loan,3/25/2019,30,4131.29,3/16/2020
327,,11/1/2021,6757.17,Credit,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,Withdrawal,ATM,Utilities,871,5394,Home Loan,10/15/2019,26,1798.14,9/22/2021
328,,10/9/2020,713.65,Debit,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,Transfer,Retail,Entertainment,321,1729,Home Loan,2/14/2019,17,2608.86,12/2/2019
329,,7/28/2019,7702.68,Debit,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,Withdrawal,ATM,Entertainment,654,1540,Home Loan,10/9/2021,6,3716.19,9/24/2021
330,,4/23/2019,2538.7,Credit,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,Transfer,Retail,Utilities,858,1259,Home Loan,9/2/2020,24,4665.53,3/25/2020
331,,2/22/2019,9156.89,Credit,ligula sit amet eleifend pede libero quis orci nullam molestie nibh,Transfer,Retail,Groceries,663,5628,Personal Loan,12/7/2021,3,3018.64,3/4/2020
332,,4/12/2020,6237.86,Credit,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,Transfer,Retail,Entertainment,300,6599,Home Loan,5/14/2021,29,1361.92,2/25/2021
333,,11/27/2021,9967.95,Debit,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,Transfer,ATM,Groceries,778,1944,Personal Loan,8/19/2021,17,4824.23,7/23/2020
334,,7/20/2020,8493.14,Credit,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,Transfer,Retail,Entertainment,502,9585,Personal Loan,7/23/2019,28,4733.15,10/12/2019
335,,5/26/2020,8880.76,Credit,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,Withdrawal,Retail,Groceries,463,4085,Home Loan,6/23/2020,25,4236.72,4/2/2020
336,,10/27/2019,8053.39,Debit,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,Transfer,Online,Groceries,814,5719,Home Loan,12/11/2019,23,2684.51,7/19/2021
337,,7/4/2019,8745.32,Credit,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,Purchase,Online,Entertainment,887,3420,Home Loan,6/30/2021,3,1861.38,8/31/2020
338,,1/20/2021,7823.51,Credit,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,Withdrawal,Retail,Entertainment,223,8288,Personal Loan,5/12/2019,30,4542.64,6/15/2019
339,,12/13/2021,4838.55,Debit,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,Withdrawal,Online,Entertainment,551,7810,Home Loan,3/20/2021,16,3887.72,2/8/2019
340,,11/14/2019,5785.72,Credit,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,Purchase,Online,Utilities,149,8512,Personal Loan,11/29/2020,29,4137.26,7/16/2021
341,,7/19/2019,6122.62,Credit,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,Withdrawal,Online,Utilities,708,9540,Personal Loan,8/16/2021,31,3266.83,3/12/2021
342,,2/4/2021,9125.21,Debit,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,Transfer,ATM,Entertainment,264,7909,Home Loan,2/23/2021,28,3894.83,6/3/2020
343,,12/11/2020,3068.16,Debit,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,Transfer,Retail,Groceries,819,8046,Home Loan,10/17/2019,18,239.04,3/26/2019
344,,1/18/2019,8580.96,Debit,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget,Withdrawal,Retail,Entertainment,872,1855,Home Loan,11/8/2019,3,63.27,5/29/2021
345,,5/9/2020,5735.42,Credit,nulla integer pede justo lacinia eget tincidunt eget tempus vel,Withdrawal,ATM,Utilities,601,3652,Home Loan,9/5/2020,5,553.4,8/25/2019
346,,9/21/2020,868.1,Debit,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,Purchase,ATM,Groceries,420,3476,Personal Loan,9/16/2020,19,3870.2,8/10/2020
347,,6/27/2019,523.93,Credit,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,Transfer,Online,Groceries,927,7258,Home Loan,3/12/2019,10,176.1,10/15/2020
348,,6/22/2020,1723.16,Debit,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,Withdrawal,Online,Utilities,696,8052,Personal Loan,5/16/2020,30,487.88,8/29/2019
349,,12/1/2021,8000.78,Debit,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,Withdrawal,Retail,Utilities,814,9240,Home Loan,5/7/2019,30,2950.16,5/5/2019
350,,10/27/2019,7436.49,Credit,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,Transfer,ATM,Groceries,476,7144,Personal Loan,8/27/2019,26,2537.71,8/14/2020
351,,10/24/2020,4085.26,Credit,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,Transfer,Online,Groceries,559,2259,Personal Loan,4/23/2019,22,2458.7,5/2/2019
352,,6/12/2019,1465.95,Debit,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,Transfer,Retail,Groceries,990,6229,Home Loan,12/19/2019,27,1869.64,10/16/2019
353,,5/1/2020,304.25,Credit,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,Transfer,Online,Utilities,727,7006,Home Loan,12/3/2019,22,3800.82,9/7/2021
354,,8/10/2021,422.87,Debit,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,Transfer,Online,Groceries,827,2607,Personal Loan,5/4/2021,22,4193.52,11/23/2021
355,,5/18/2020,7642.95,Debit,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,Withdrawal,Online,Entertainment,278,2737,Personal Loan,1/16/2021,10,1926.81,5/1/2019
356,,12/12/2020,8061.66,Credit,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,Purchase,Online,Utilities,285,4733,Home Loan,5/3/2021,23,1678.55,9/10/2019
357,,10/28/2020,34.34,Debit,donec odio justo sollicitudin ut suscipit a feugiat et eros,Withdrawal,ATM,Groceries,531,5692,Personal Loan,8/8/2019,1,1852.97,5/4/2020
358,,7/20/2019,3697.95,Credit,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,Purchase,Online,Groceries,531,6247,Home Loan,12/6/2019,15,2272.82,9/25/2019
359,,9/25/2019,4971.46,Credit,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,Withdrawal,Retail,Groceries,987,5222,Home Loan,5/5/2021,8,336.46,10/17/2019
360,,5/21/2019,5714.41,Debit,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,Transfer,ATM,Groceries,538,3323,Home Loan,12/16/2021,21,67.26,4/18/2020
361,,9/14/2021,4743.02,Debit,suspendisse potenti in eleifend quam a odio in hac habitasse,Purchase,ATM,Utilities,669,9415,Home Loan,8/18/2021,15,3932.6,5/23/2019
362,,5/1/2019,4173.55,Debit,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,Transfer,Online,Groceries,320,1062,Home Loan,4/8/2020,13,2549.69,11/9/2020
363,,7/10/2019,6032.65,Credit,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,Withdrawal,ATM,Groceries,928,2931,Personal Loan,9/4/2020,2,3854.58,1/11/2020
364,,11/13/2020,1218.51,Credit,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,Withdrawal,ATM,Entertainment,576,1260,Personal Loan,7/6/2019,16,4471.82,7/3/2020
365,,8/1/2021,5467.19,Credit,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,Purchase,ATM,Entertainment,926,2227,Personal Loan,1/3/2020,12,373.54,12/14/2020
366,,3/20/2019,6092.83,Credit,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,Purchase,ATM,Entertainment,136,6536,Personal Loan,9/10/2019,11,1131.85,3/27/2019
367,,3/24/2021,3270.16,Credit,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,Purchase,Online,Entertainment,473,7766,Personal Loan,3/2/2021,1,4474.09,2/28/2020
368,,3/20/2020,4155.88,Credit,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,Withdrawal,Online,Entertainment,328,6733,Home Loan,1/2/2020,3,248.22,11/22/2021
369,,10/28/2021,4766.07,Debit,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,Withdrawal,Retail,Groceries,389,2155,Personal Loan,2/20/2020,11,1639.39,8/1/2020
370,,7/23/2021,4246.25,Credit,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,Transfer,Retail,Utilities,978,3978,Home Loan,2/4/2021,24,4125.9,6/18/2021
371,,4/20/2021,9546.81,Credit,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,Transfer,Online,Utilities,387,6207,Home Loan,3/25/2020,13,4496.56,6/24/2021
372,,8/11/2019,3936.93,Debit,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,Purchase,Online,Utilities,786,9137,Personal Loan,9/27/2020,17,2173.8,10/9/2019
373,,4/29/2020,2108.85,Credit,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,Transfer,Retail,Entertainment,239,6994,Personal Loan,3/21/2019,29,1879.49,9/11/2021
374,,7/14/2020,7307.1,Credit,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,Purchase,ATM,Entertainment,407,7320,Home Loan,9/22/2021,25,978.21,1/28/2020
375,,5/21/2019,8922.17,Credit,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,Transfer,Online,Entertainment,952,8015,Home Loan,4/16/2019,31,4364.3,12/14/2019
376,,11/9/2019,2367.95,Debit,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,Transfer,Online,Entertainment,957,1853,Personal Loan,6/2/2021,4,4679.94,11/17/2020
377,,1/6/2019,3999.39,Credit,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,Purchase,ATM,Groceries,589,5484,Home Loan,12/17/2021,9,2722.41,4/29/2020
378,,12/2/2021,6174.23,Debit,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,Transfer,Online,Groceries,236,6997,Personal Loan,3/6/2019,22,3032.07,2/10/2019
379,,2/27/2020,8175.52,Credit,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,Withdrawal,ATM,Entertainment,172,2892,Personal Loan,4/16/2020,21,404.09,9/12/2020
380,,9/19/2019,1631.97,Debit,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,Withdrawal,Online,Entertainment,744,6451,Personal Loan,11/6/2021,3,901.43,5/26/2021
381,,11/4/2019,9819.65,Debit,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,Purchase,ATM,Utilities,971,2143,Home Loan,9/21/2021,27,1011.04,4/8/2019
382,,10/5/2019,5680.89,Credit,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,Purchase,Online,Groceries,752,2321,Personal Loan,8/4/2021,11,4040.6,5/9/2020
383,,8/18/2019,7054.94,Credit,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,Purchase,Retail,Utilities,175,5423,Personal Loan,10/1/2019,3,1797.11,6/24/2019
384,,12/27/2019,3702.11,Debit,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,Withdrawal,Retail,Utilities,105,8423,Home Loan,1/13/2019,23,4067.92,11/15/2020
385,,11/26/2019,3387.16,Debit,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,Purchase,Retail,Entertainment,180,5575,Home Loan,10/24/2019,24,1487.86,8/19/2021
386,,7/5/2021,3200.36,Credit,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,Transfer,ATM,Entertainment,629,5357,Personal Loan,1/13/2020,8,2092.33,7/28/2019
